Town,Population
Andover,"3,236"
Ansonia,"18,654"
Ashford,"4,255"
Avon,"18,276"
Barkhamsted,"3,606"
Beacon Falls,"6,222"
Berlin,"20,436"
Bethany,"5,548"
Bethel,"19,800"
Bethlehem,"3,402"
Bloomfield,"21,211"
Bolton,"4,884"
Bozrah,"2,726"
Branford,"27,900"
Bridgeport,"144,399"
Bridgewater,"1,635"
Bristol,"59,947"
Brookfield,"16,973"
Brooklyn,"8,272"
Burlington,"9,704"
Canaan,"1,053"
Canterbury,"5,079"
Canton,"10,254"
Chaplin,"2,239"
Cheshire,"28,937"
Chester,"4,213"
Clinton,"12,925"
Colchester,"15,809"
Colebrook,"1,400"
Columbia,"5,379"
Cornwall,"1,362"
Coventry,"12,407"
Cromwell,"13,839"
Danbury,"84,694"
Darien,"21,728"
Deep River,"4,443"
Derby,"12,339"
Durham,"7,165"
Eastford,"1,790"
East Granby,"5,140"
East Haddam,"8,997"
East Hampton,"12,800"
East Hartford,"49,872"
East Haven,"28,569"
East Lyme,"18,462"
Easton,"7,521"
East Windsor,"11,668"
Ellington,"16,467"
Enfield,"43,659"
Essex,"6,668"
Fairfield,"62,045"
Farmington,"25,497"
Franklin,"1,920"
Glastonbury,"34,482"
Goshen,"2,863"
Granby,"11,507"
Greenwich,"62,840"
Griswold,"11,534"
Groton,"38,436"
Guilford,"22,133"
Haddam,"8,193"
Hamden,"60,556"
Hampton,"1,842"
Hartford,"122,105"
Hartland,"2,120"
Harwinton,"5,420"
Hebron,"9,504"
Kent,"2,777"
Killingly,"17,336"
Killingworth,"6,364"
Lebanon,"7,144"
Ledyard,"14,621"
Lisbon,"4,220"
Litchfield,"8,094"
Lyme,"2,316"
Madison,"18,030"
Manchester,"57,584"
Mansfield,"25,487"
Marlborough,"6,335"
Meriden,"59,395"
Middlebury,"7,798"
Middlefield,"4,374"
Middletown,"46,258"
Milford,"54,747"
Monroe,"19,434"
Montville,"18,508"
Morris,"2,254"
Naugatuck,"31,108"
New Britain,"72,495"
New Canaan,"20,233"
New Fairfield,"13,878"
New Hartford,"6,656"
New Haven,"130,250"
Newington,"30,014"
New London,"26,858"
New Milford,"26,805"
Newtown,"27,891"
Norfolk,"1,630"
North Branford,"14,146"
North Canaan,"3,251"
North Haven,"23,683"
North Stonington,"5,196"
Norwalk,"88,816"
Norwich,"38,768"
Old Lyme,"7,306"
Old Saybrook,"10,061"
Orange,"13,926"
Oxford,"13,255"
Plainfield,"15,125"
Plainville,"17,534"
Plymouth,"11,598"
Pomfret,"4,203"
Portland,"9,267"
Preston,"4,625"
Prospect,"9,702"
Putnam,"9,389"
Redding,"9,116"
Ridgefield,"24,959"
Rocky Hill,"20,115"
Roxbury,"2,152"
Salem,"4,083"
Salisbury,"3,600"
Scotland,"1,672"
Seymour,"16,437"
Sharon,"2,689"
Shelton,"41,129"
Sherman,"3,630"
Simsbury,"25,395"
Somers,"10,784"
Southbury,"19,571"
Southington,"43,834"
South Windsor,"26,162"
Sprague,"2,859"
Stafford,"11,893"
Stamford,"129,638"
Sterling,"3,782"
Stonington,"18,559"
Stratford,"51,849"
Suffield,"15,814"
Thomaston,"7,535"
Thompson,"9,379"
Tolland,"14,618"
Torrington,"34,044"
Trumbull,"35,673"
Union,839
Vernon,"29,359"
Voluntown,"2,510"
Wallingford,"44,326"
Warren,"1,395"
Washington,"3,428"
Waterbury,"107,568"
Waterford,"18,746"
Watertown,"21,578"
Westbrook,"6,869"
West Hartford,"62,965"
West Haven,"54,620"
Weston,"10,252"
Westport,"28,491"
Wethersfield,"26,008"
Willington,"5,864"
Wilton,"18,343"
Winchester,"10,604"
Windham,"24,561"
Windsor,"28,733"
Windsor Locks,"12,854"
Wolcott,"16,587"
Woodbridge,"8,750"
Woodbury,"9,502"
Woodstock,"7,858"
